chrom	start	end	weight	E1	E2	E3
chr1	0	100000				
chr1	100000	200000				
chr1	200000	300000				
chr1	300000	400000				
chr1	400000	500000				
chr1	500000	600000				
chr1	600000	700000				
chr1	700000	800000				
chr1	800000	900000				
chr1	900000	1000000				
chr1	1000000	1100000				
chr1	1100000	1200000				
chr1	1200000	1300000				
chr1	1300000	1400000				
chr1	1400000	1500000				
chr1	1500000	1600000				
chr1	1600000	1700000				
chr1	1700000	1800000				
chr1	1800000	1900000				
chr1	1900000	2000000				
chr1	2000000	2100000				
chr1	2100000	2200000				
chr1	2200000	2300000				
chr1	2300000	2400000				
chr1	2400000	2500000				
chr1	2500000	2600000				
chr1	2600000	2700000				
chr1	2700000	2800000				
chr1	2800000	2900000				
chr1	2900000	3000000				
chr1	3000000	3100000				
chr1	3100000	3200000				
chr1	3200000	3300000				
chr1	3300000	3400000				
chr1	3400000	3500000				
chr1	3500000	3600000				
chr1	3600000	3700000				
chr1	3700000	3800000				
chr1	3800000	3900000				
chr1	3900000	4000000				
chr1	4000000	4100000				
chr1	4100000	4200000	0.024560345113007295	2.80512293637914	2.602145211697855	-4.052581757259781
chr1	4200000	4300000	0.018689282345572423	0.3723185829942578	-0.3729901232751651	-0.8653908281740597
chr1	4300000	4400000				
chr1	4400000	4500000	0.020672145373812012	0.32022806671879955	-0.1773020884211485	0.8033987124017672
chr1	4500000	4600000	0.01878354030589947	0.2904559851488775	-0.2276016087333913	-0.03347868404196021
chr1	4600000	4700000				
chr1	4700000	4800000	0.022305985369171586	0.31875989488177126	0.013372019423504558	0.5640527724507274
chr1	4800000	4900000	0.02323203827188518	0.2536042284584279	0.002639707796732298	0.3764176599106037
chr1	4900000	5000000	0.014383705122968351	1.8485633541965354	1.3416798292610153	-0.5541939908311488
chr1	5000000	5100000	0.011351282376359881	1.4569282876817635	1.1083481225625038	-0.6060429979117591
chr1	5100000	5200000	0.014009384897496889	-0.08956432607159816	-0.3616906731820003	-0.2897015598175816
chr1	5200000	5300000	0.020948023929325182	2.5065466801835576	2.3767766734426576	-0.3657834838654368
chr1	5300000	5400000	0.020867419901630383	0.3985712392195343	-0.41091733849033724	0.5392172417105567
chr1	5400000	5500000	0.019809232966374844	0.22654552831210673	-0.2899335247074892	-0.5893720523356639
chr1	5500000	5600000	0.016911470942118374	0.30685283457272905	-0.09515286968158922	-0.33612096729877994
chr1	5600000	5700000	0.01810310158834227	0.2515587335519343	-0.2557837009653599	-2.770827388873193
chr1	5700000	5800000	0.02200048571486785	0.21497006560378012	-0.12473130487722352	0.10972060297980189
chr1	5800000	5900000				
chr1	5900000	6000000	0.02017664695226302	0.13952205255228853	-0.0775165605743031	-0.5040617030608867
chr1	6000000	6100000				
chr1	6100000	6200000				
chr1	6200000	6300000				
chr1	6300000	6400000				
chr1	6400000	6500000				
chr1	6500000	6600000				
chr1	6600000	6700000	0.01978910762682412	0.08019700896539031	-0.08824101873237757	-0.11504155317508351
chr1	6700000	6800000	0.020760742277171132	0.2281857505979302	-0.08207488065528785	0.5458147283316156
chr1	6800000	6900000	0.015025432849941244	-0.009267544785524435	-0.1183700274933837	0.29789118696451616
chr1	6900000	7000000	0.02285995978417975	0.24446965170916257	0.096915128843294	0.31354847781119327
