chrom	start	end	weight	E1	E2	E3
chr1	0	100000				
chr1	100000	200000				
chr1	200000	300000				
chr1	300000	400000				
chr1	400000	500000				
chr1	500000	600000				
chr1	600000	700000				
chr1	700000	800000				
chr1	800000	900000				
chr1	900000	1000000				
chr1	1000000	1100000				
chr1	1100000	1200000				
chr1	1200000	1300000				
chr1	1300000	1400000				
chr1	1400000	1500000				
chr1	1500000	1600000				
chr1	1600000	1700000				
chr1	1700000	1800000				
chr1	1800000	1900000				
chr1	1900000	2000000				
chr1	2000000	2100000				
chr1	2100000	2200000				
chr1	2200000	2300000				
chr1	2300000	2400000				
chr1	2400000	2500000				
chr1	2500000	2600000				
chr1	2600000	2700000				
chr1	2700000	2800000				
chr1	2800000	2900000				
chr1	2900000	3000000				
chr1	3000000	3100000				
chr1	3100000	3200000				
chr1	3200000	3300000				
chr1	3300000	3400000				
chr1	3400000	3500000				
chr1	3500000	3600000				
chr1	3600000	3700000				
chr1	3700000	3800000				
chr1	3800000	3900000	0.023870700235617014	0.626196091363481	1.1626655071565455	1.8552384412098237
chr1	3900000	4000000				
chr1	4000000	4100000				
chr1	4100000	4200000	0.023521178921192515	0.9494399864718378	0.5534734506191784	2.2299356772531214
chr1	4200000	4300000	0.02486319847840022	0.18927654280925604	0.8102073501510055	1.9243656491899104
chr1	4300000	4400000				
chr1	4400000	4500000				
chr1	4500000	4600000	0.02392571189246164	0.6559106808696086	0.3609647936874392	1.313093885128412
chr1	4600000	4700000				
chr1	4700000	4800000				
chr1	4800000	4900000	0.023429806805820633	0.9572620911370368	0.18509669431500825	1.4515414091865226
chr1	4900000	5000000				
chr1	5000000	5100000	0.024031582161793918	0.4629667785463835	0.8377450297329497	1.1442550757546155
chr1	5100000	5200000				
chr1	5200000	5300000				
chr1	5300000	5400000	0.02242204881875775	0.7585488706324185	0.4022966534964572	1.4199968132602394
chr1	5400000	5500000				
chr1	5500000	5600000	0.022868379701946665	0.4622393332965488	0.7187847929328034	1.1855677044519635
chr1	5600000	5700000	0.02406685112576353	0.5135111843095014	0.694820988380923	1.0449178647063948
chr1	5700000	5800000				
chr1	5800000	5900000				
chr1	5900000	6000000	0.023060859428602486	0.8559363652154764	0.781211795168705	1.1535388350626157
chr1	6000000	6100000				
chr1	6100000	6200000				
chr1	6200000	6300000				
chr1	6300000	6400000	0.02041967481717722	0.5748151860210957	0.2022094375602956	1.1768366994475583
chr1	6400000	6500000	0.0230931402431922	0.7540404095096542	0.6028668501120614	1.3329706741275822
chr1	6500000	6600000	0.0209369695540254	0.45755056543203165	0.4360417876834315	1.226983873916848
chr1	6600000	6700000	0.019892618123608093	0.4010132757701063	0.25564549250778884	1.0491125152898744
chr1	6700000	6800000	0.019419061570451417	0.3875039404420446	0.9360363408941529	1.0046453555892352
chr1	6800000	6900000	0.019153958990558915	0.6439509752966148	0.4275875349878145	1.1042582118668436
chr1	6900000	7000000	0.022257345203868406	0.577812412083141	0.5741334836767641	1.13800236243601
chr1	7000000	7100000	0.022211097901261988	0.673510836152769	-0.07772419413307333	0.9269251164616964
chr1	7100000	7200000	0.021668189362723973	0.26873116024535	0.6037828176750598	1.143609715249869
chr1	7200000	7300000	0.02122490409268907	0.4494035357384975	0.4169854283974408	1.1056496018439221
