chrom	start	end	name	eigval1	eigval2	eigval3
chr1	0	248956422	chr1	329.5868829035781	-283.57050842721895	278.553090174027
chr2	0	242193529	chr2	421.64822301344657	-341.7120652937474	280.51948416650407
chr3	0	198295559	chr3	527.0891234254075	-436.8891445707544	269.0720881151222
chr4	0	190214555	chr4	389.92977130883526	-285.31114677321256	227.28742459364514
chr5	0	181538259	chr5	531.292760882044	-353.6858963486962	-173.72339221304637
chr6	0	170805979	chr6	342.22860969838456	-297.9627243416264	233.88998247206573
chr7	0	159345973	chr7	233.41255884018508	-182.98860326560828	162.5214330241191
chr8	0	145138636	chr8	306.623872580535	-206.78219443502303	169.64596638307893
chr9	0	138394717	chr9	159.40789123069203	-144.88309262211718	117.02056684457139
chr10	0	133797422	chr10	255.40591929543967	-188.17607307326512	-134.93878582072523
chr11	0	135086622	chr11	654.3688757527294	-560.4338558020272	428.2149080904251
chr12	0	133275309	chr12	266.0513123788231	-210.58398435264155	141.3459424598052
chr13	0	114364328	chr13	127.7413244115454	-125.55751615038972	98.22603773530085
chr14	0	107043718	chr14	96.55103293298663	-90.04301392114661	83.22602621242648
chr15	0	101991189	chr15	-87.13679015120137	77.70275239507937	71.20488210349964
chr16	0	90338345	chr16	171.571967519593	-134.4531583824154	106.0922737168276
chr17	0	83257441	chr17	141.079243633256	-85.39036163840674	-71.12757097885968
chr18	0	80373285	chr18	163.05499580521337	-144.6334556586809	83.22311857244014
chr19	0	58617616	chr19	191.6323778096075	-175.35303579583186	66.71245982639982
chr20	0	64444167	chr20	179.834958543672	-150.2343592170969	83.82504184373899
chr21	0	46709983	chr21	-34.597890932492554	32.88900000418435	27.153421421196892
chr22	0	50818468	chr22	35.709568902015306	-28.13772248009051	17.69657581375852
chrX	0	156040895	chrX	276.90586668397896	-252.27296084395851	185.99456152438646
chrY	0	57227415	chrY	-6.560525324350847	1.951135803164887	1.0000000000000004
chrM	0	16569	chrM			
